评论ID,用户ID,用户名,用户等级,用户头像,评论内容,发布时间,发布地点,总评分,景色评分,趣味评分,性价比评分,点赞数,回复数,图片数量,图片链接,是否精选,发布类型,景点ID
213397591,680112526,liujiahao～,黄金贵宾,https://dimg04.c-ctrip.com/images/0Z81u12000jrdjjm3C21D_R_180_180.jpg,成都大熊猫繁育研究基地是熊猫迷的必访圣地！园内环境清幽，竹林掩映，上百只憨态可掬的大熊猫在自然栖息环境中进食、嬉戏，尤其幼崽翻滚玩闹的场景萌化人心。建议早晨前往，能观赏到活跃的熊猫进食场景。景区设计合理，配有科普馆和志愿者讲解，兼具趣味性与教育意义。唯一不足是旺季游客较多，建议避开节假日。整体体验超值，近距离观察国宝的体验令人难忘！,2025/6/1 13:54,广东,5,5,5,5,0,0,12,https://dimg04.c-ctrip.com/images/1mh5i12000l1d617oE702_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh6e12000l1dmzof7B12_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh5i12000l1cu1rxE462_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh2b12000l1dhbgt89E8_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh5p12000l1dpnw18864_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh5p12000l1d32ut9347_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh0r12000l1cgb6vA8E8_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh5p12000l1d5j1q6AEA_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh7412000l1dcovf0687_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh1c12000l1dz7702F03_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh7412000l1dx18gF604_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh3f12000l1cg35p95ED_W_640_10000.jpg?proc=autoorient,FALSE,2025-06-01 发布点评,76342
211258272,679210488,tokiiii,,https://dimg04.c-ctrip.com/images/0Z83412000kfg4lvn892B_R_180_180.jpg,在成都的最后一天就去了这里，这个景区特别好的一点就是可以免费寄存行李！在游客中心里边，就可以寄存行李，对于行程最后一天安排在这里的我非常友好！而且园区里边我记得是30块的观光车可以无限坐的！超级多熊猫！都好可爱！萌化了直接！因为要去赶飞机没时间去看小熊猫，以后一定要去看！听说小熊猫更可爱！ 还买了两只熊猫玩偶，都超级可爱的！,2025/5/11 0:07,广东,5,5,5,5,0,0,11,https://dimg04.c-ctrip.com/images/1mh2u12000kjd8iq07576_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh4u12000kjcvah52BB0_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh6y12000kjcv1272FFD_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh3k12000kjd98hv5A1E_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh4p12000kjcr44gC64B_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh7412000kjbnpuiEEF4_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh7112000kjbwujw6DEB_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh6d12000kjcoxh43128_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh3612000kjcq1yeCBFA_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh5m12000kjct6xa2DD1_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh3012000kjch9zeF77C_W_640_10000.jpg?proc=autoorient,FALSE,2025-05-11 发布点评,76342
209129103,61318,forGoldenAlex,黄金贵宾,https://dimg04.c-ctrip.com/images/27c2112000na9j9p95174_R_180_180.jpg,天太热，熊猫就都在室内了。西门还有些冷清。南门和西门下车后都还要走一段才到真正的园区大门。园子很大，游览车还是很有必要的。XX产房就是看一岁以内的小大熊猫，真小熊猫在太阳产房方向。XX别墅就是妈妈熊猫带着未成年的大熊猫。XX馆就是成年大熊猫。,2025/4/20 0:18,四川,5,5,5,5,0,0,6,https://dimg04.c-ctrip.com/images/1mh2v12000jxsan1z3849_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh0p12000jxt2irrFD67_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh3p12000jxtmgnoC321_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh2112000jxt1lilE4AB_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh4b12000jxsbik05DAD_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh3m12000jxtjmhaD24A_W_640_10000.jpg?proc=autoorient,FALSE,2025-04-20 发布点评,76342
205024338,207448126,熊熊飞行官,黄金贵宾,https://dimg04.c-ctrip.com/images/0Z86312000cr29b8t29FD_R_180_180.jpg,"怎么没人给我说熊猫基地这个路线这么好‼️  【不看花花版】 重要的事提前说！西门是新区，熊猫馆里的树比较矮，视野爆好，几乎可以全程无遮挡看他们吃饭睡觉，所以一定要在这边馆玩好了再往南门走。 - 1️⃣14点打车到西门 路上有卖熊猫头饰的，几块钱就能买到心头好 2️⃣无需排队丝滑入园 3️⃣秋月馆等等一个一个看，最后到星汉馆看5小只，太治愈了！一定要看久一点，因为后面没有这么多熊猫且视野这么好的馆了 4️⃣接着星汉馆附近有坐观光车的，不想走的直接坐车过去太阳产房月亮产房那块区域慢慢看，观光车30/人，可以多次上下，每一站有工作人员讲解很nice 6️⃣老区熊猫比较分散，而且树很高，不过有活泼的小熊猫可以看 5️⃣17点半南门出 - 这个路线全程不走回头路，可步行可坐车！而且西门进的人少，体验感真的满分，很多馆16点30就收猫了，要尽量早点来",2025/2/27 15:14,海南,5,5,5,5,0,0,5,https://dimg04.c-ctrip.com/images/1mh5a12000irslvu97369_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh1i12000irrzndqDB65_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh6612000irsjufg9E97_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh6v12000irshlnv114C_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh2412000irsxc8x9450_W_640_10000.jpg?proc=autoorient,FALSE,2025-02-27 发布点评,76342
205015133,438223481,鑫灬心,钻石贵宾,https://dimg04.c-ctrip.com/images/0Z85p12000ioxhc76053A_R_180_180.jpg,非常值得去，可以让大家了解大熊猫的知识。 可以看到明星大熊猫花花，并且园内的景色也非常的漂亮，很适合遛娃。 虽然公园面积很大，但也有很人性化的观光电车，非常适合不愿意走路的旅客。 个人感觉里面的小吃也是味道不错的。 所以大熊猫繁育研究基地还是很值得一去的地方，无论是遛娃，还是和家人一起都是不错的选择。,2025/2/27 11:32,北京,5,5,5,5,0,0,5,https://dimg04.c-ctrip.com/images/1mh0a12000irn966kFBB7_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh2112000irn60vp4F53_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh3812000irmv0ro64F6_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh6e12000irn44gsE6EF_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh3612000irn8f1y8D5E_W_640_10000.jpg?proc=autoorient,FALSE,2025-02-27 发布点评,76342
204885164,110615375,查理涛,铂金贵宾,https://dimg04.c-ctrip.com/images/0Z84g12000g1o1m9rDFBD_R_180_180.jpg,成都大熊猫基地必须冲！这儿有软萌的圆滚滚，竹林葱郁，步道设计贴心，沉浸式观猫体验超棒，轻松拿捏治愈感。   来成都，大熊猫基地不可错过！在这不仅能邂逅可爱熊猫，还能参与科普活动，趣味十足，一趟下来收获满满。   成都大熊猫基地，国宝们的欢乐家园。漫步其中，看萌宝们吃竹子、撒欢打滚，治愈感拉满，绝对不虚此行。,2025/2/24 8:54,宁夏,5,5,5,5,2,0,4,https://dimg04.c-ctrip.com/images/1mh5q12000ipdw7ti98D7_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh0b12000ipdu8f433B6_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh6t12000ipdr40w15DD_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh1412000ipdmcz70936_W_640_10000.jpg?proc=autoorient,FALSE,2025-02-24 发布点评,76342
202903737,31974539,紫色的麦穗,黄金贵宾,https://dimg04.c-ctrip.com/images/Z80h14000000x3gbi5DD8_R_180_180.jpg,【趣味】去了一趟就知道它为什么是爆款景点了，真的非常非常非常适合带孩子玩，我的孩子爱到临走排队依依不舍，说什么时候还能再来。早上真的是越早起越早到越好，我们差不多8点南门入园的，而且地铁带四岁的孩子不友好，我选择了打车直接到泊车点，走路也不多，那段路上非常多买熊猫周边的，随便买个便宜的，主要是哄孩子走路有精神。熊猫11点多大部分都看不到了，下午3点多才能看到，租的儿童车非常友好，孩子四岁，不爱走路，看到熊猫才走的动，但不是每一个熊猫别墅都有熊猫出来，摆渡车也只挺出入口，所以儿童车简直是我的救星。中午可以熊猫塔和不远的商业街转一转吃个饭，买点熊猫周边，带孩子的话，不买一点估计出不来，哈哈～但是周边价格都不亲民，我是选了3样孩子喜欢的，一个冰箱贴，一个头饰和一个拍拍手环，还有2个照片摆台，一共300多。中午孩子趴儿童车上睡着了，我自己休息了一会，转了一会又吃了点东西，吃的也挺贵，不过景区里就不要纠结了。下午孩子醒了3点多一边往出走又一边看了看熊猫别墅，下午出来的熊猫感觉也很多。5点多出园，然后坐门口的公交到市区。满意的旅行。感觉自己捅了熊猫窝了，不过很值得，熊猫邮局可以买本子盖印章，孩子睡着了没看到所以没弄。因为觉得以后有机会来成都还会来，所以也不遗憾。熊猫美术馆很好，喜欢的一定带孩子去看看。,2025/2/2 16:20,河南,5,5,5,5,0,0,6,https://dimg04.c-ctrip.com/images/1mh6612000i90rww01FF8_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh3v12000i90iuts130E_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh6c12000i90urliA474_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh0712000i8znt986619_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh6j12000i90iutyA2FC_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh5812000i9026as441D_W_640_10000.jpg?proc=autoorient,FALSE,2025-02-02 发布点评,76342
199101708,207448126,熊熊飞行官,黄金贵宾,https://dimg04.c-ctrip.com/images/0Z86312000cr29b8t29FD_R_180_180.jpg,🐼成都大熊猫繁育研究基地，真的是一个让人惊喜的地方！  🎈这里是世界著名的大熊猫科研繁育基地，也是全球最大的圈养大熊猫人工繁殖场所。在这里，你可以近距离观察到可爱的大熊猫，感受它们的萌态和可爱。  🐼基地内的大熊猫数量非常多，而且还有很多不同年龄段的大熊猫，让人可以看到它们从幼年到成年的成长过程。此外，基地内还有很多其他的珍稀动物，如小熊猫、黑颈鹤、白天鹅等，让人大开眼界。  🌳除了观看大熊猫，基地的环境也非常优美。这里有大片的竹林和森林，空气清新，让人感觉非常舒适。而且，基地内还有很多不同的景点和设施，如大熊猫博物馆、大熊猫科学探秘馆、熊猫医院等，让人大饱眼福。  👨‍👩‍👧‍👦最后，基地的服务也非常周到。工作人员都非常热情，会主动为游客提供帮助和指导。而且，基地内还有很多餐厅和商店，让人可以在游玩的同时享受美食和购物的乐趣。  总之，成都大熊猫繁育研究基地是一个非常值得一去的地方。如果你喜欢大熊猫，那么一定不要错过这个机会！强烈推荐！👍👍👍,2024/12/6 22:48,安徽,5,5,5,5,0,0,5,https://dimg04.c-ctrip.com/images/1mh5y12000h2u8g61830E_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh5r12000h2sp6fo5A2F_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh3v12000h2t15yi14BC_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh0w12000h2se0gw5F57_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/1mh0512000h2u5v8o0E6E_W_640_10000.jpg?proc=autoorient,FALSE,2024-12-06 发布点评,76342
178625351,232447290,闲鱼007,铂金贵宾,https://dimg04.c-ctrip.com/images/1h611120008tjgmuzC076_R_180_180.jpg,地址:大熊猫繁育研究基地 交通:坐地铁到熊猫大道站下车，再坐接驳车去南门，接驳车发车时间8:00-17:00，单程2元，往返4元。市区春熙路，武侯祠，宽窄巷子也有景区直通车去熊猫基地南门，单程10元。发车时间9:30-17:30。也可打的前往。 如果不看花花的话，也可以走西门，人少。 门票:55元/人，提前一天预约，一定要带身份证 游玩攻略 -基地开门时间:早上7:30 -花花出来散步时间:我去的时候，花花8:30左右才出来 -熊猫最佳观赏时间:10:00-13:00大多数熊猫都在睡觉，大家要么早一点，要么干脆差不多16:00左右 看熊猫都是按批入场，每组大概给你看3分钟，太早的第一批花花还没出来好像没有看到，所以我们还算比较幸运的，太晚了收猫了也看不到哦 由于怕热，所以夏天熊猫们也会不大活跃，大概10:00左右就都把室外的熊猫收回去了，晚到就只能在别墅里看看啦 游玩路线推荐 可以关注公众号:成都大熊猫繁育研究基地。电子地图里可以看到相应的路线推荐、观光车等情况 我个人相对比较推荐的路线:幼年大熊猫别墅(花花和叶所在地)-→大熊猫太阳产房→大熊猫月亮产房亚成年大熊猫别墅→南门,2023/8/27 17:24,上海,5,5,5,5,23,1,8,https://dimg04.c-ctrip.com/images/0EQ1512000c0js18h0079_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/0EQ3r12000c0jqkme1E7B_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/0EQ1012000c0ju1fj34D2_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/0EQ1q12000c0jm8uh7DAC_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/0EQ0612000c0jx2qdFD1D_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/0EQ2o12000c0jy9myB7F3_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/0EQ2z12000c0jxbhvA7C8_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/0EQ4q12000c0k4hvw364B_W_640_10000.jpg?proc=autoorient,FALSE,2023-08-27 发布点评,76342
175977338,83069036,小灬水,铂金贵宾,https://dimg04.c-ctrip.com/images/27c6n12000na9jeqj71E2_R_180_180.jpg,绝对值得来的地方，没有之一。越早来越好，一定从南门进。南门进了是老区，花花的幼儿园就在南面。因为看花花要排队，开园后人都是冲刺般去先排队看花花的。早一点能排队快一点。而且过了11点之后有可能花花就回房间了。园区很大，只逛了南门附近的地方，太阳，月亮产房。近期没有新宝宝出生，所以里面没有小团团。亚成年和成年区还有好多其它熊猫可以看。如果体力不好可以坐观光车，20一位。可以在观光点下车，看过了继续去下一站。还是很划算的。,2023/5/29 0:49,云南,5,5,5,5,14,0,5,https://dimg04.c-ctrip.com/images/0EQ3e12000bb832foFAF4_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/0EQ4t12000bb7p4qv6811_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/0EQ0t12000bb7p1wh73C5_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/0EQ3612000bb7xzpa96C5_W_640_10000.jpg?proc=autoorient|https://dimg04.c-ctrip.com/images/0EQ4y12000bb7rrm37801_W_640_10000.jpg?proc=autoorient,FALSE,2023-05-29 发布点评,76342
